Interval,Low,Current Price,High
"15 Min", "7.80788159901172", "7.80837", "7.80885840098828"
"30 Min", "7.807762759168458", "7.80837", "7.808977240831542"
"1 Hour", "7.807755772126881", "7.80837", "7.808984227873119"
"4 Hour", "7.807616352399892", "7.80837", "7.809123647600108"
"Daily", "7.807514482519887", "7.80837", "7.8092255174801135"
